Owner Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price
430661,6.15,9,6,30399,8232149.66
413574,4.98,7,3,33463,5486730.76
565124,8.15,7,6,28955,11379921.49
617554,6.99,7,2,34795,13732928.37
494564,5.48,6,2,35340,7591892.21
555023,6.05,6,2,41321,9997729.49
517790,6.45,8,6,39664,11444620.67
439999,5.06,6,4,48340,6411947.92
510937,3.41,6,2,50626,7296614.64
439565,4.21,8,5,31162,6157328.24
502642,5.73,6,2,47563,8473021.76
487095,5.37,8,6,17046,7414834.28
436499,6.73,7,5,23383,6806924.67
418019,5.45,7,5,41273,8700854.05
497658,5.87,6,3,37143,7677922.63
534352,5.58,8,3,37258,9748797.03
383334,3.8,8,5,58460,7563253.95
431662,5.77,6,2,34605,5749892.33
645960,7.26,8,4,38004,15664446.21
520191,5.54,8,3,43907,10628237.48
490189,6.08,8,3,38102,10524865.47
479668,6.31,6,2,48112,8534080.8
615496,5.59,5,2,34724,8933813.14
518574,6.76,7,2,32617,9803476.62
505715,6.09,6,2,25509,7890222.97
444885,5.22,8,3,41839,8761646.95
519197,5.85,7,2,40719,10285483.46
490042,4.92,7,4,25136,6625893.82
472836,6.52,7,4,28132,8054610.2
432439,6.83,8,3,27971,9280739.37
484407,5.61,7,4,31085,8050657.23
468209,6.03,7,3,23806,7063996.38
582407,6.38,7,5,43837,11936933.33
419615,5.57,8,4,28999,5808563.74
375732,6.02,7,2,47027,7325098.41
448525,5.43,7,5,40211,8065886.01
541268,4.74,7,2,32840,7640356.92
538090,5.36,6,4,25656,7279407.38
391279,4,8,5,31094,3960129.74
614362,5.41,8,6,39910,12177398.66
548324,5.89,8,3,31033,10094901.11
521990,3.74,5,2,39184,7028874.37
611205,5.07,7,2,25225,8005349.52
546140,4.62,6,2,36689,7421688.4
451031,6.95,7,4,50851,10842740.23
520331,5.28,8,6,30212,7398889.26
522648,7.8,6,3,23818,10131472.82
513842,5.53,6,4,38074,8760965.36
409248,4.96,7,3,25157,5263784.47
431207,4.91,7,2,37458,5354688.5
526085,5.83,6,4,51563,10779712.51
474803,5.62,6,2,27128,6739230.12
351015,6.12,8,3,43233,9476981.36
605899,5.02,9,5,42757,12953678.99
614138,5.66,6,3,43943,12448881.62
460922,7.32,8,3,22355,9583042.77
318857,6.92,6,2,49839,8385825.63
629629,6.6,8,4,40503,13511006.81
509551,7.84,7,2,34104,10373623.33
480963,5.99,9,4,31660,9433049.71
612549,5.43,5,3,32700,9510527.25
440034,4.61,7,3,37255,6522376.35
413378,5.35,7,5,51384,8441740.93
321846,5.22,8,3,36063,5545022.56
561967,6.21,8,5,45424,11330696.16
461363,5.3,7,3,24081,6051127.53
391510,5.54,7,3,24899,4638412.38
543116,6.14,7,4,37280,10396019.62
438459,5.86,6,3,51456,7330588.79
532994,4.05,9,4,41931,9749556.67
444668,6.3,5,4,48124,6605025.91
599711,6.59,6,2,33111,12553791.04
344876,6.27,8,6,41349,6168911.84
615846,8.16,8,5,39586,14970997.58
551495,6.61,7,2,33603,10786089.09
554904,8.37,7,4,28904,11953553.08
439285,6.11,7,3,41525,7179935.91
573615,6.07,7,4,34262,10788303.75
471688,7.22,8,6,48918,13512411.15
470981,6,8,4,42769,10368028.65
405090,5.14,6,3,44475,7698076.96
454776,7.05,7,3,28164,8336072.08
487907,6.57,5,4,21935,7492231.67
521437,5.41,8,4,35563,9507497.37
383789,7.04,8,6,45027,8391078.43
520590,6.84,8,3,45992,12423008.36
569506,6.09,6,4,51019,10772327.93
512302,5.81,7,5,54681,10236524.2
374689,4.58,6,3,51611,6672833.44
453152,6.86,7,3,47717,9989759.5
479423,4.74,7,4,28298,5387038.02
345968,7.05,5,2,18657,4677788.36
434231,5.24,7,4,25267,5605663.91
451549,6.38,8,6,41521,9990415.96
358246,6.59,7,3,31822,5484964.31
450030,3.65,7,3,54157,6643505.75
430374,7.09,8,3,50245,11855142.88
490917,8.2,10,4,26794,11728900.89
594461,7.2,6,4,43232,13603518.39
442638,4.92,7,2,49272,7743828.89
376439,6.77,6,4,29324,6851368.37
469875,4.97,8,5,22651,6984790.75
462056,6.35,5,4,45400,7435444.24
453866,6.44,9,4,32921,9675206.03
587223,6.53,6,5,17958,8972188.12
551922,6.72,8,6,41261,11148652.9
507892,5.38,7,6,31487,8732903.9
434490,5.54,7,3,27099,5454452.85
620886,4.74,7,3,29936,8559326.02
400512,6.86,8,6,35046,9665007.24
375984,4.23,7,2,31914,4934189.05
541317,5.94,6,3,49571,10713364.83
465892,6.32,8,4,45326,12462908.08
524048,6.34,8,6,46251,11967670.33
437934,4.73,8,3,37446,5967959.41
544754,5.26,7,2,33933,8297171.89
557060,5.81,9,6,43215,12565651.21
489461,4.1,6,4,45202,6693693.93
447160,4.88,7,4,56267,8571181.85
414085,4.49,6,2,26568,3865954.47
369845,7.74,8,5,34537,8304500.26
446250,7.38,9,3,47248,11075831.9
572194,5.49,8,5,29756,10346197.19
543165,6.55,7,5,24294,9704142.7
558901,5.78,7,3,42453,9973505.57
539574,3.64,7,6,40080,8448561.24
494998,4.82,8,5,29436,8465012.78
446586,5.75,7,2,26627,7209088.32
321398,4.9,6,4,26309,2103248.7
617330,5.15,7,2,25177,9059946.84
504077,5.65,8,6,16377,8762300.33
366947,7.33,6,4,39766,7898823.59
523236,5.43,7,5,36072,9545683.49
566391,5.56,7,6,30034,8244214.79
416360,5.21,8,4,43704,6861918.49
566657,5.45,6,4,38991,10668811.23
446992,7.46,7,3,31115,9183317.71
523096,5.79,7,5,27639,7839948.34
546665,6.84,7,3,32346,10772460.3
487830,4.07,6,4,27439,5905432.4
384811,5.43,7,5,40413,6323113.93
437997,5.95,7,4,41465,8133970.11
485597,5.14,5,3,33732,5133098.53
576905,7.05,6,3,46298,12865515.6
370055,5.99,8,3,39157,6734200.9
460992,6.56,8,6,45529,10344356.05
429170,7.95,7,4,33201,9935419.27
275884,4.39,7,4,45851,3776383.8
540862,5.39,8,3,21558,7683913.58
523446,6.34,7,2,30013,9885921.43
472318,3.28,8,4,34972,7094104.08
481936,6.78,6,4,25880,6257433.28
463036,6.33,7,4,31574,8641721.2
445172,6.12,7,3,19345,6052920.51
425194,6.25,7,4,24534,6839168.77
514787,4.42,7,5,39756,6553039.57
522438,5.75,6,3,30601,7398838.79
434119,5.76,8,3,35750,7284251.17
589750,5.86,6,4,44571,11487710.64
309729,6.45,6,4,22012,3521458.57
416318,6.93,8,6,41215,9073028.58
474873,6.9,7,3,26377,8149467.34
440804,7.16,5,2,33870,6998704.23
428141,5.9,8,6,36034,7426283.83
612304,5.54,7,3,48307,12940436.04
340851,4.6,6,3,36239,4320105.37
475013,4.95,6,3,29709,6003879.91
506324,5.74,7,4,45804,8774040.8
565432,6.15,8,5,26602,11445647.01
526057,7.3,7,3,32032,10673917.94
434665,5.95,5,3,36183,5347087.69
530313,5.25,8,4,46188,9636462.57
450618,8.39,7,6,23251,8711080.91
337036,5.97,8,6,32051,4857520.5
448889,5.61,7,2,42629,8944213.18
587454,5.53,7,4,39570,10775305.24
382326,6.23,7,2,29614,6327171.62
318451,7.38,7,3,38938,6278609.68
509460,5.26,6,2,44954,8293311.88
674765,5.46,8,7,35036,12120061.94
332269,5.82,7,3,37342,5335014.51
432649,5.61,8,5,44587,8896335.14
383558,5.63,8,4,39386,7000307.3
664461,5.71,8,3,43819,13773461.03
434413,7.03,6,3,28954,7803454.75
328664,6.06,6,4,31628,4701631.97
469028,6.51,7,3,28464,8504908.23
614845,4.3,7,3,16251,7372656.2
514038,7.11,6,2,44544,10605037.66
490868,6.74,7,6,51674,12125373.54
590562,4.75,8,5,43445,11109856.59
422408,7.83,7,4,24199,8294254.92
499163,5.81,9,3,22710,9200440.9
458017,4.32,7,4,33320,5024777.52
515137,5.43,7,3,51662,10092157.32
369642,7.46,7,4,37161,7836796.17
407309,6.08,7,4,31552,5956839.07
493542,6.07,8,3,44707,11588267.18
541884,7.26,7,4,33259,11492176.64
455616,6.68,7,3,40283,9589835.5
507829,5.61,7,3,39219,10260850.88
552048,6.38,7,3,50194,12525343.95
471352,6.79,7,6,10311,6043080.26
556864,5.19,7,3,50114,9977564.87
623623,7.15,9,5,49782,15897789.18
469770,7.2,7,6,31999,9594898.04
565453,6.48,6,3,34431,10967180.91
536368,5.07,6,4,47039,10058966.4
560084,6.45,6,2,26576,9421740.65
493311,6.01,6,3,34894,8856266.37
402199,5.38,8,6,37379,7428557.78
560007,5.61,6,3,42245,9687772.22
464716,5.68,8,5,22553,7360633.49
452893,6.85,7,4,49084,10852516.85
593439,5.42,6,2,42039,9625399.56
568379,6.87,7,3,49575,13180852.3
424837,7.6,7,3,35529,8918375.48
504007,7.17,8,3,27699,9985042.48
358015,6.75,7,4,39369,6395109.7
403788,6.56,7,4,43348,7817116.09
446313,6.14,8,6,35072,8586108.44
480312,8.76,6,2,51792,12858849.36
467761,7.52,6,4,30852,10165076.95
472948,6.7,8,5,21880,9063252.59
476063,4.36,8,5,28908,7419096.72
516005,6.21,8,3,45541,11307427.25
355698,7.16,6,2,30767,7753844
586698,8.57,7,3,51538,16312027.9
361669,7.73,8,3,41926,7813353.03
484659,5.82,6,4,39400,7505776.81
567700,6.43,7,4,29780,11388592.53
415128,6.93,9,3,43609,11687768.61
487277,4.14,6,4,39210,5642852.88
541814,5.65,8,6,39351,11761769.18
513702,4.97,8,4,38413,8305092.32
496734,8.6,6,2,38252,12363738.8
568274,6.64,8,5,26691,11487391.58
400904,7.58,7,2,30099,7846263.6
412104,8.17,7,5,25092,9279948.3
518203,6.62,6,4,36360,11153434.95
397943,4.04,7,3,43523,4235514.43
515109,5.94,7,2,25272,7451566.64
348096,5.84,8,3,37609,6106561.16
424417,5.96,8,3,40928,7824192.32
548828,7.07,7,3,49398,13546211
606277,4.85,8,3,45359,11680694.62
412398,6.59,6,2,35283,7508934.23
531069,5.54,8,4,56294,13403226.06
466074,5.42,6,3,18231,5874358.49
439740,7.64,8,6,23734,8996105.09
487984,6.07,8,3,36291,10035304.79
578977,6.24,5,4,44769,10215400.23
411796,7.24,9,6,44277,11569921.86
372134,4.88,9,4,30535,5080814.2
555527,4.57,7,3,53875,9652045.83
408282,6.3,7,6,31256,7027593.51
390411,5.64,7,2,41639,5109178.34
503251,5.83,7,3,40364,8890332.71
531461,6.69,6,2,49459,11869942.91
382536,5.53,8,4,20271,5003758.13
503006,6.43,6,4,52564,10240293.21
471968,5.37,8,6,32413,7890820.91
493955,5.15,7,5,38376,7099584.1
519659,4.66,5,4,37651,5970877.92
406028,5.17,8,6,29183,5812006.97
713503,4.83,9,4,22805,13572065.43
390663,6.85,6,4,49002,8733517.87
338499,4.73,8,3,45207,5693905.91
455126,5,6,2,26910,4755613.8
468643,5.49,6,3,30324,5704154.47
579943,5.73,6,4,40338,10426780.91
460957,6.52,7,5,36110,10281171.25
655053,5.82,6,4,38978,13019185.62
532798,6.77,7,5,42602,10911311.6
590030,7.76,8,4,42768,14846218.45
404012,5.55,8,5,19844,5534191.81
600782,6.61,6,3,13983,7962257.38
439355,7.68,7,4,22272,9588272.96
491442,5.84,9,5,26973,10032547.84
466172,4.79,7,3,42385,9611336.7
450128,5.63,7,3,20215,6593654.06
401513,7.35,7,3,22062,6637959.58
519512,6.04,7,3,45069,9555252.56
479521,4.4,8,4,34699,9023576.52
388367,5.73,10,3,42180,9792854.75
526862,8.31,7,5,13108,10917750.27
481978,6.75,8,5,37483,10399739.42
523978,4.6,8,4,50538,10875150.86
382438,5.74,8,6,41564,8254946.63
399686,8.17,6,2,42721,8837261.93
476252,6.49,9,4,34175,11644565.73
441903,5.46,7,3,39537,6510080.99
440559,6.17,9,3,38082,11089174.95
580412,7.08,8,5,50446,15298360.63
490973,6.46,7,4,44685,10703200.97
529277,5.69,7,6,22047,6987685.95
299754,6.61,5,3,29670,3592511.93
421015,7.35,8,5,25199,7955138.87
614978,6.52,8,6,42302,13290681.88
464751,5.38,8,5,26623,8789033.89
407428,6.3,7,5,46663,9573488.89
617715,6.55,9,3,25792,12517996.68
481166,4.5,8,6,34217,8612542.61
394961,4.67,8,3,40156,7001518.02
466746,3.91,7,5,23031,4109054.88
500619,7.91,8,5,40239,12140611.28
462686,3.98,6,4,37468,5335170.75
534961,7.56,8,5,24402,10729920.04
508620,5.45,6,4,48712,8704511.55
649509,5.19,7,2,36590,11402146.63
549752,7.04,7,3,44280,12371316.51
406777,5.88,7,2,49356,9161267.5
501305,6.36,8,4,29922,9181769.94
537698,6.98,7,3,31822,10971577.96
514556,6.27,7,3,34895,7887747.77
446642,7.12,6,4,48434,10316330.71
473564,6.31,6,4,50823,9562003.99
483609,5.65,9,6,39890,11743287.08
656754,7.31,7,3,28556,12529812.47
628663,6.99,8,3,30847,13732011.09
454279,5.75,5,2,33201,4712575.77
432978,7.22,8,4,23811,8612740.29
449442,5.61,6,2,48650,7873726.77
524104,6.74,7,3,20068,7636972.98
573867,5.63,8,3,41394,10991080.87
369614,5.87,6,3,21518,4795861.98
381570,5.05,9,4,20211,5918873.59
433083,5.79,5,3,34967,6823641.93
445585,7.54,7,3,16409,8733626.93
602224,5.29,7,5,35418,9669920.75
509243,6.88,9,6,40138,12084550.8
432880,7.74,6,3,26065,6730773.42
535640,6.46,7,2,28961,9519847.12
537425,6.23,6,2,34314,9691265.08
536620,5.9,7,6,41718,10720131.03
499597,5.97,5,3,52266,9930170.11
584227,5.74,7,2,31385,10334709
523187,5.63,6,4,29955,8178487.24
491603,6.66,8,6,28829,8558907.07
510657,5.32,5,4,38711,6912134.46
409612,5.95,6,4,33776,6879536.09
365449,5.27,7,5,21096,3694245.8
509747,6.48,7,5,40594,9738627.71
463750,4.86,8,3,24202,7660253.16
519932,6,8,6,38536,11271520.26
568169,8.1,6,5,28714,12380935.91
392833,7.81,7,4,36041,8653806.56
594986,5.9,6,4,28623,9303050.4
487228,7.01,8,6,40684,11928888.16
495425,6.13,7,3,40561,9253217.89
463659,6.86,5,3,38907,7797556.48
402164,5.12,8,5,38533,7305398.59
464058,6.84,7,6,48878,11645575.97
483707,4.27,6,2,46139,6787749.99
530110,5.58,8,4,29996,8281101.57
410200,5.67,7,3,26570,6704702.2
416486,5.52,7,3,25401,6390241.76
506870,6.12,8,6,40606,10358308.24
485219,6.3,8,4,24448,10020553.34
480599,7.35,9,6,43834,12235380.5
498680,5.92,9,5,42567,10941583.38
512568,5.09,8,6,41113,9980217.1
426776,5.93,6,4,28484,5631177.09
461552,5.07,8,4,36262,7423084.2
439418,4.5,7,4,41389,6683159.98
485135,5.33,7,3,29466,8068228.98
512533,4.42,6,4,31620,6691606.67
446516,4.64,6,3,22450,3032730.12
536291,7.39,7,6,43251,12032137.53
451227,7.95,7,2,34211,8658123.67
290731,6.85,5,4,31685,4775402.1
557032,4.97,6,4,31050,7993415.71
575295,5.22,5,4,29259,8139146.89
488971,7.22,8,6,41914,11769384.48
360640,6.94,6,4,43259,6621870.71
340319,7.08,7,4,29770,5978315.07
443275,7.73,6,4,43282,9610960.03
455112,2.64,8,6,15903,2901998.54
537992,4.74,6,2,45388,8682237.83
527114,6.76,8,4,42383,11484526.69
486073,6.12,7,4,57775,10761351.3
530348,4.84,7,2,36712,9365768.51
481705,5.43,5,3,42286,7595794.15
426384,6.31,6,4,20916,6337301.39
287049,5.31,6,3,39527,3463197.78
433650,6.11,6,2,42093,8661525.04
471954,4.64,8,6,20167,6054296.36
478996,5.27,6,3,31074,7015348.06
432880,5.68,7,4,17245,5600770.84
439845,7.1,7,5,50098,9872322.81
507395,4.21,6,2,43134,7254679.39
426622,4.78,6,3,34163,3060022.14
586110,4.4,5,3,12906,4371030.79
403242,7.41,6,2,49411,8256085.81
527506,8.99,7,3,21320,12182834.79
377489,4.53,6,3,37876,4942945.98
425432,6.86,6,4,28319,6091766.87
487543,5.44,7,3,36039,7743047.83
415072,4.73,8,4,46785,8348742.85
682836,5.46,7,3,39089,14184121.7
431823,6.84,8,6,35553,9180313.24
507290,5.61,8,3,27228,7863705.71
532336,6.64,8,6,22470,8440251.61
554302,6.22,9,6,17840,11074980.42
344540,5.4,6,2,46982,4014042.62
560280,6.45,8,6,29699,12150782.07
363972,6.77,7,2,47074,7365296.26
368977,7.87,8,4,25594,8058972.95
398538,8.08,8,3,37076,10718518.23
467327,5.7,6,3,42293,7723468.2
366639,5.36,4,2,34189,2157399.23
491568,7.04,7,4,40274,9963072.84
438291,6.95,7,3,40790,9209791.22
561995,5.03,4,2,23457,4465663.37
467684,6.04,5,2,33499,7190337.21
357994,5.38,7,6,41873,5107750.41
633745,5.72,6,2,42249,11737392.31
652302,5.81,7,2,23723,10983853.44
495201,5.38,5,3,26898,6124787.9
392175,6.58,7,4,36216,8206892.4
533575,6.4,5,2,50003,10772896.33
627697,4.38,9,5,15626,9006010.86
628782,6.6,7,3,18598,11522233.87
427098,6.83,6,3,34772,8031191.14
443534,6.14,6,4,34972,6835385.06
399602,5.89,7,4,39003,7513450.28
483315,4.31,6,4,34764,7589789.76
570073,4.76,7,2,43340,10025764.56
548100,6.88,8,3,39298,11732496.58
611702,6.04,6,4,31736,11063899.07
582050,6.3,6,3,45986,10849117.16
658595,6.31,9,5,31011,13927707.64
424970,5.4,8,6,44101,9008865.67
499163,7.51,8,4,32357,12270773.2
653128,4.72,8,3,38163,10707977.98
599417,5.62,9,4,42812,11974284.21
359520,6.37,6,2,40797,5418066.85
531083,5.9,6,3,39296,10753005.13
579131,5.81,8,6,39061,11640573.7
469301,5.95,6,4,53739,10101190.82
469259,5.77,7,3,41042,8975806.63
396879,6.74,9,3,26083,8721774.6
460859,6.3,7,4,18250,7181362.37
556346,5.83,7,3,30411,9660493.15
385336,4.3,6,2,25093,2020962.37
564291,4.81,8,5,35692,8733068.47
537936,7.45,8,6,43978,12371795.03
585109,6.62,7,5,34278,11119846.5
604401,5.51,7,3,35780,11796519.7
460922,6.39,7,3,28214,6502650
487039,6.02,8,5,48122,10961518.33
431067,4.99,7,2,43071,6488180.44
553679,5.87,8,5,43951,12394318.51
482916,5.85,8,4,28735,8955477.44
328482,4.84,5,3,53820,3715352.69
592956,8.47,8,4,28219,13124269.2
557333,5.73,7,6,34605,9960230.14
432565,7.06,7,4,40719,8720518.1
382347,6.39,7,5,44500,8736913.64
491078,7.44,7,4,31863,10748951.85
555051,6.56,8,4,27773,11966092.67
471436,4.95,9,4,52158,10032821.61
513492,6.53,8,6,28008,8979312.3
482706,6.02,8,3,46682,11778960.34
308616,7.56,6,2,31033,4371379.32
564550,5.02,8,6,54516,11561793.39
405615,4.89,7,3,23040,5376241.71
445382,5.19,6,2,35778,7013136.27
424788,6.88,8,6,42643,10505750.29
631127,3.4,6,2,34010,8917919.36
434112,4.98,7,2,48897,7217324.59
554827,5.15,8,6,36129,10557390.69
344442,6.4,7,4,30396,5417975.36
594818,6.55,8,6,38072,12065947.32
564018,3.96,8,3,34412,8825786.48
497434,7.19,7,4,30771,9569999.04
600796,5.2,7,5,29248,9121643.37
475083,7.15,6,4,32732,9393092.45
509453,6.22,8,4,24559,8318917.67
513135,4.6,8,6,24284,8085539.91
476182,5.25,7,4,35479,7342786.43
567175,5.8,7,2,25838,9236348.03
485023,4.93,6,4,40696,7156862.3
508865,5.36,7,4,48115,9764794.2
472983,5,8,4,36475,8283404.99
535528,5.64,7,4,42154,8819439.86
463918,4.97,7,2,12951,4057099.9
404152,7.41,7,4,45688,11138318.45
514535,7.21,8,6,31537,10060077.72
423766,4.65,7,3,31248,5957132.72
465815,6.4,6,2,34142,9247261.87
425285,6.48,6,3,29425,7786002.35
603127,4.2,8,3,47757,10569782.86
312039,7.9,7,5,27836,6717378.71
433657,5.02,7,6,38737,7225262.66
553196,5.99,7,3,21388,8624101.71
484309,7.33,6,4,49506,11025706.37
589876,4.5,7,4,31182,8802031.63
656033,6.56,8,5,39900,15216660.41
456526,5.71,7,5,34864,7808844.89
547190,5.54,5,3,44504,9785693.4
447356,5.16,8,4,28299,7027335.42
524076,6.44,6,4,57841,11300617.72
517657,6.37,7,2,30519,10243574.74
519113,4.15,8,3,32581,6766343.57
442967,7.25,8,3,43032,10175642.75
531083,5.93,8,5,32436,9249720.34
428204,4.07,7,6,41920,6373588.48
462840,5.8,8,5,28439,7205481.43
556969,5.5,7,5,49312,11262224.82
588140,5.38,7,4,25976,10206064.47
587552,7.7,6,3,55472,15389951.99
420049,7.4,6,4,47734,8972443.06
420882,7.15,7,3,25424,8376503.66
494060,6.36,8,3,36627,11049455.97
371203,4.29,7,2,34472,3010617.75
387023,5.68,7,5,30773,4745917.82
502439,5.22,8,5,29802,7598739.26
532000,6.49,7,4,35184,11443468.89
393862,5.84,8,3,40493,8172149.93
431137,6.82,6,4,34460,7474089.63
498204,5.78,6,4,23264,6214176.01
405475,3.49,7,6,40178,5900471.85
525182,3.39,6,4,33970,6048469.42
371560,5.47,6,2,23763,3562660.99
452403,6.29,5,3,46877,8566442.5
437913,4.46,8,5,44522,7203262.01
634837,5.23,7,6,20847,10415985.16
543907,6.78,9,6,38827,12854937.48
462987,5.03,8,4,37356,8036467.67
559930,6.05,6,4,37817,9230767.28
534058,5.29,6,4,40712,8221367.49
533792,6.02,8,3,41297,10660684.58
534555,4.54,9,3,19992,7925024.24
514073,6.45,6,3,33286,8487230.71
325318,7.28,8,5,28182,6048924.21
479934,6.32,7,3,35476,9354644.81
446502,7.2,6,5,67354,12230714.02
499247,4.2,7,4,47872,9788475.13
651903,6.19,8,4,42101,14141108.52
502838,5.88,5,3,31326,6144455.38
362705,5.74,9,3,43605,8786414.77
484722,5.71,6,2,37598,8213894.85
446355,6.78,8,5,34303,9286761.68
572908,5.12,7,6,51937,11098653.93
439586,5.89,6,3,34652,7744357.88
393967,5.27,8,6,29142,6737513.3
469420,6.94,8,5,51237,9856521.71
408695,7.59,6,2,41930,8863468.25
491813,6.76,8,6,54051,12187370.72
615503,5.52,6,3,44486,11455914.68
663138,7.89,7,5,46315,16227999.9
514535,4.84,9,6,47118,9869244.63
550501,7.13,6,3,13889,8163386.84
548233,5.5,6,2,41569,9757971.72
445480,6.17,8,5,41449,10238260.9
572096,5.53,8,6,51629,13455969.17
626864,5.8,7,2,43965,11111844.1
346451,6.31,8,3,39909,6775079.57
430227,5.31,8,4,49688,9985821.79
508851,6.26,9,3,33125,12078008.25
557914,6.76,8,6,46270,12276744.34
384965,5.19,6,2,15444,2247412.72
401296,6.62,8,3,28946,7627213.16
522102,4.49,6,3,48052,7962661.77
541338,4.87,9,4,37906,9601692.73
539931,7.26,6,2,47451,11169343.92
677446,4.57,8,6,37481,13299636.42
364329,5.82,6,3,41716,4722605.37
548457,7.46,8,6,23053,10888434.34
431214,5.43,7,3,45188,8359343.16
591164,5.1,8,4,38221,10374751.59
592991,5.95,7,4,11072,8084421.73
430451,6.2,6,3,37743,7355870.9
265797,4.29,6,3,33268,217983.64
512113,7.94,9,3,25175,12242052.97
522354,7.48,6,3,30737,9009216.51
412692,7.37,7,6,38530,8660722.98
484778,6.19,9,3,22525,8818135.48
332850,6.37,8,5,43526,7202400.24
512904,5.9,7,3,39446,9717529.71
430353,4.27,6,4,36838,4460329.72
436219,7.57,7,3,47836,12022993.71
458248,4.68,7,4,26066,5107820.13
615188,7.61,6,3,41013,14344026.41
474733,6.55,7,3,37516,9384935.84
459620,7.16,5,2,40337,6866882.47
481796,5.87,7,2,45936,10627186.08
498071,3.06,7,3,40951,7019881.61
566580,6.33,8,3,27772,10499444.13
468027,7.84,7,5,36036,10476042.22
450205,7.62,7,6,37218,10688407.45
447069,6.39,9,4,14523,6423276.23
568540,6.27,7,2,32860,11010932.59
426167,6.08,7,3,42878,6715915.08
465871,5.65,7,2,23632,6720588
510272,6.05,8,3,40427,10682179.62
414120,6.27,7,3,23253,7048200.88
464891,5.43,6,3,50997,7735735.35
469182,5.62,6,2,27678,4381165.11
540064,7.7,8,4,27118,12598790.54
488593,5.68,6,4,38341,8069590.06
390383,5.35,6,4,47990,5922671.79
571893,6.35,7,3,19502,9715054.23
401576,5.72,9,4,47734,9900007.04
563423,5.16,5,2,36743,8913160.97
476637,5.36,8,3,44557,10427536.14
578116,5.71,7,3,55932,12361917.82
401856,7.07,6,2,27118,6538781.48
450324,4.18,8,5,30813,7671156.08
462280,4.88,9,6,15613,6134441.74
436779,5.87,6,3,40740,5984618.57
593677,6.25,7,2,28392,9448202.05
469357,4.46,7,3,39736,6795779.2
587349,6,7,3,46092,12572066.5
436422,5.36,6,4,41983,6541446.38
426720,3.7,8,3,28172,4088428.75
478478,5.18,7,5,27805,6270918.99
410634,6.57,7,4,17468,4872280.91
462917,6.42,7,2,40980,8428961.24
471457,5.78,6,4,47176,9896108.32
419531,5.47,6,3,28593,4255116.39
425880,5.41,7,2,36241,6797696.36
662984,5.43,5,2,49412,11998390.88
521283,6.68,8,3,46500,13695070.55
551271,6.18,9,3,50350,14091110.25
561631,5.33,7,5,26263,9733482.99
591311,5.34,7,4,31608,10706164.42
546350,3.53,6,4,42857,8002505.21
652246,6.32,7,6,42809,13647045.65
489643,5.22,6,4,37358,7404594.68
601321,5.66,7,2,25593,11101116.81
456988,5.58,7,4,37825,8182956.32
554344,7.15,6,4,35107,10023411.86
505701,4.76,8,6,43988,9866073.56
441882,7.17,8,3,51219,10477070.66
550067,5.56,7,4,50891,10965975.16
416374,4.78,8,4,31201,6902792.68
467390,5.05,7,4,33238,6199281.06
527583,5.75,7,3,32075,7715816.78
422940,6.85,7,2,38273,8876880.88
549885,7.6,6,4,34514,11064841.34
574518,5,7,4,36337,7900511.22
449778,5.09,9,4,58051,10672823.42
374031,6.68,9,5,36805,8234943.92
475181,7.14,8,5,34639,10193916.04
642831,6.13,8,4,31105,12442615.15
494697,6.58,6,3,23592,8665319.74
492205,5.88,6,4,49698,9700484.64
338541,6.15,8,4,49354,7245881.02
518154,6.74,6,4,30053,9512297.83
456281,4.85,8,6,48109,9178021.79
378343,4.39,8,5,42178,6439489
505988,5.27,6,4,40277,6901062.21
577332,4.92,6,3,30985,8373434.23
558404,6.49,7,5,30612,10051868.54
400652,3.94,8,3,24726,5269601.05
307664,5.42,7,4,25139,2274873.93
397047,7.15,8,3,22904,7893462.92
396585,5.19,5,3,25802,1675239.51
281302,5.95,6,4,37767,3704974.56
498589,7,8,4,20096,10189842.6
367115,8.19,7,4,39288,9600691.31
397782,6.56,8,6,43475,8620165.33
389354,3.74,7,2,63185,7718487.77
465570,5.05,6,2,29294,5307838.27
438473,5.55,5,2,27813,3338800.22
556171,6.15,7,4,44852,11946829.58
581959,5.4,6,2,30483,7558215.84
484001,4.98,7,4,24405,5366160.38
477946,5.93,5,3,38100,6335316.54
505757,6.67,7,4,34879,9975803.04
499618,5.47,7,5,51510,10587797.08
570521,6.78,7,3,46674,11552394.91
423983,7.61,8,3,16351,7787839.36
508788,6.03,7,3,18539,6597562.72
516348,6.42,8,4,38551,11499912.55
530467,5.1,7,4,34945,7550992.61
545181,6.11,7,6,27529,9337058.08
494256,4.44,7,3,24388,4788349.44
474481,5.67,8,6,46608,9177472.15
404005,4.96,8,5,53101,8204934.43
620298,3.48,8,5,42905,9936753.82
514913,6.16,7,4,34375,9018986.83
572432,5.77,7,6,30071,10506578.81
297234,6.04,8,4,42192,7000609.84
504679,6.4,9,3,31584,10204372.71
307454,5.86,7,5,42251,5235534.43
448805,6.62,7,3,25273,7173167.96
543018,4.98,8,3,39055,10623667.95
490259,6.29,6,2,25064,6676884.9
498288,5.41,7,4,46955,9628485.79
471212,6.64,9,4,37811,11518710.42
509698,8.54,8,3,35015,12089048.65
511161,5.69,8,5,40513,11181312.87
472990,7.06,7,4,49055,11817955.17
489811,6.44,7,4,37815,9788171.4
512617,5.45,5,3,40788,7700657.37
564046,5.9,8,5,36463,10538923.78
